1,Laptop,1200,Electronics,50,High-performance laptop with SSD storage
2,Smartphone,800,Electronics,100,Latest model with advanced camera features
3,Smart TV,1500,Electronics,30,4K UHD Smart TV with HDR support
4,Coffee Maker,80,Appliances,20,Programmable coffee maker with multiple brew options
5,Bluetooth Speaker,50,Electronics,75,Portable speaker with wireless connectivity
6,Wireless Mouse,20,Electronics,200,Ergonomic wireless mouse with precision tracking
7,Gaming Console,300,Electronics,40,High-end gaming console with 4K graphics
8,Air Fryer,100,Appliances,35,Oil-less air fryer for healthier cooking
9,Digital Camera,500,Electronics,15,DSLR camera with advanced shooting modes
10,Robot Vacuum,250,Appliances,50,Smart robot vacuum with mapping technology
11,Fitness Tracker,60,Electronics,40,Water-resistant fitness tracker with heart rate monitor
12,External Hard Drive,80,Electronics,60,Portable external hard drive for data storage
13,Office Chair,120,Furniture,25,Comfortable and adjustable office chair
14,Wireless Headphones,70,Electronics,90,Over-ear wireless headphones with noise cancellation
15,Coffee Grinder,30,Appliances,15,Electric coffee grinder for fresh coffee beans
16,Portable Charger,25,Electronics,120,Compact portable charger for on-the-go charging
17,Standing Desk,200,Furniture,10,Adjustable standing desk for ergonomic work
18,Smart Thermostat,120,Home Improvement,30,Programmable smart thermostat for energy efficiency
19,In-Ear Earphones,40,Electronics,80,Comfortable in-ear earphones with tangle-free cable
20,Blender,40,Appliances,25,High-speed blender for smoothies and shakes
21,Digital Watch,50,Accessories,100,Water-resistant digital watch with multiple functions
22,Wireless Router,80,Electronics,30,High-speed wireless router for home network
23,Air Purifier,120,Home Improvement,20,HEPA air purifier for clean indoor air
24,Compact Refrigerator,150,Appliances,15,Space-saving compact refrigerator for dorms or offices
25,Smart Doorbell,120,Home Improvement,40,Video doorbell with motion detection and two-way communication
26,Yoga Mat,20,Fitness,60,Non-slip yoga mat for comfortable workouts
27,Power Strip,15,Electronics,50,Surge-protected power strip with multiple outlets
28,Dining Table Set,300,Furniture,10,Modern dining table set with chairs
29,Hand Blender,25,Appliances,30,"Handheld blender for soups, smoothies, and sauces"
30,Wireless Charging Pad,20,Electronics,80,Qi-enabled wireless charging pad for smartphones
31,Backpack,40,Accessories,50,Durable and spacious backpack for daily use
32,Air Fryer Toaster Oven,120,Appliances,25,Combination appliance for air frying and toasting
33,Resistance Bands Set,30,Fitness,40,Set of resistance bands for strength training
34,Compact Desk Organizer,15,Office Supplies,70,Space-saving desk organizer for office essentials
35,Mini Projector,100,Electronics,15,Portable mini projector for home entertainment
36,Cordless Vacuum Cleaner,150,Appliances,20,Cordless vacuum with powerful suction for quick cleaning
37,Desk Lamp,25,Home Improvement,50,Adjustable LED desk lamp for focused lighting
38,Travel Mug,15,Accessories,90,Insulated travel mug for hot and cold beverages
39,Indoor Plant,20,Home Improvement,30,Low-maintenance indoor plant for decoration
